Auranofin,Cell viability,Agents
0.075,0.445085767,Jeko-1
0.15,0.128646492,Jeko-1
0.3,0.009004029,Jeko-1
0.6,0.003111272,Jeko-1
1.25,0.002757352,Jeko-1
2.5,0.002421134,Jeko-1
5,0.004526947,Jeko-1
0.075,0.477157559,Jeko-1
0.15,0.118576199,Jeko-1
0.3,0.012784262,Jeko-1
0.6,0.002746988,Jeko-1
1.25,0.002781064,Jeko-1
2.5,0.002474327,Jeko-1
5,0.004962345,Jeko-1
0.075,0.438639424,Jeko-1
0.15,0.128003925,Jeko-1
0.3,0.011233792,Jeko-1
0.6,0.003324925,Jeko-1
1.25,0.002818366,Jeko-1
2.5,0.002736664,Jeko-1
5,0.004599499,Jeko-1
0.075,0.638288608,Jeko-NO #1
0.15,0.576766679,Jeko-NO #1
0.3,0.494271279,Jeko-NO #1
0.6,0.237582891,Jeko-NO #1
1.25,0.017476006,Jeko-NO #1
2.5,0.0012013,Jeko-NO #1
5,0.002184935,Jeko-NO #1
0.075,0.669918029,Jeko-NO #1
0.15,0.615000343,Jeko-NO #1
0.3,0.493462337,Jeko-NO #1
0.6,0.248891591,Jeko-NO #1
1.25,0.019654924,Jeko-NO #1
2.5,0.001296289,Jeko-NO #1
5,0.002421725,Jeko-NO #1
0.075,0.646316061,Jeko-NO #1
0.15,0.601737434,Jeko-NO #1
0.3,0.51761381,Jeko-NO #1
0.6,0.264889042,Jeko-NO #1
1.25,0.017983739,Jeko-NO #1
2.5,0.00159592,Jeko-NO #1
5,0.002519785,Jeko-NO #1
0.075,0.780317753,Jeko-NO #11
0.15,0.758205155,Jeko-NO #11
0.3,0.647979036,Jeko-NO #11
0.6,0.435018196,Jeko-NO #11
1.25,0.049645998,Jeko-NO #11
2.5,0.001251422,Jeko-NO #11
5,0.002271116,Jeko-NO #11
0.075,0.79506529,Jeko-NO #11
0.15,0.757497516,Jeko-NO #11
0.3,0.662650227,Jeko-NO #11
0.6,0.451088105,Jeko-NO #11
1.25,0.048148621,Jeko-NO #11
2.5,0.00134666,Jeko-NO #11
5,0.002324807,Jeko-NO #11
0.075,0.726766678,Jeko-NO #11
0.15,0.716479554,Jeko-NO #11
0.3,0.677100543,Jeko-NO #11
0.6,0.419678316,Jeko-NO #11
1.25,0.037912824,Jeko-NO #11
2.5,0.001321782,Jeko-NO #11
5,0.00236424,Jeko-NO #11
0.075,0.757649819,Mino
0.15,0.576285513,Mino
0.3,0.357401323,Mino
0.6,0.127993352,Mino
1.25,0.001756278,Mino
2.5,0.001768227,Mino
5,0.00265217,Mino
0.075,0.663541501,Mino
0.15,0.555786522,Mino
0.3,0.417793766,Mino
0.6,0.123033114,Mino
1.25,0.001886571,Mino
2.5,0.001862159,Mino
5,0.002924201,Mino
0.075,0.617273854,Mino
0.15,0.580028957,Mino
0.3,0.400129763,Mino
0.6,0.170589081,Mino
1.25,0.002279209,Mino
2.5,0.001825813,Mino
5,0.003108598,Mino
0.075,0.677172924,MAVER-1
0.15,0.614783511,MAVER-1
0.3,0.447538558,MAVER-1
0.6,0.226762822,MAVER-1
1.25,0.011088509,MAVER-1
2.5,0.005366614,MAVER-1
5,0.008124152,MAVER-1
0.075,0.73024431,MAVER-1
0.15,0.631017619,MAVER-1
0.3,0.503710822,MAVER-1
0.6,0.260113993,MAVER-1
1.25,0.009580675,MAVER-1
2.5,0.00590836,MAVER-1
5,0.008801696,MAVER-1
0.075,0.64978413,MAVER-1
0.15,0.644504825,MAVER-1
0.3,0.469444742,MAVER-1
0.6,0.249785586,MAVER-1
1.25,0.02245041,MAVER-1
2.5,0.005608363,MAVER-1
5,0.009559769,MAVER-1
0.075,0.546081867,JVM2
0.15,0.601900466,JVM2
0.3,0.65872066,JVM2
0.6,0.45445013,JVM2
1.25,0.294155233,JVM2
2.5,0.078275361,JVM2
5,0.003636311,JVM2
0.15,0.861032316,JVM2
0.3,0.766125319,JVM2
0.6,0.53390164,JVM2
1.25,0.341873377,JVM2
2.5,0.098636976,JVM2
5,0.004505295,JVM2
0.075,0.759706498,JVM2
0.15,0.682681424,JVM2
0.3,0.597952085,JVM2
0.6,0.351615039,JVM2
1.25,0.294139606,JVM2
2.5,0.086565282,JVM2
5,0.004821043,JVM2
0.075,0.64990036,Rec-1
0.15,0.453135532,Rec-1
0.3,0.10596091,Rec-1
0.6,0.010676808,Rec-1
1.25,0.002263777,Rec-1
2.5,0.000976794,Rec-1
5,0.000666963,Rec-1
0.075,0.71573242,Rec-1
0.15,0.440992468,Rec-1
0.3,0.129788184,Rec-1
0.6,0.010226592,Rec-1
1.25,0.002202856,Rec-1
2.5,0.000799371,Rec-1
5,0.000719923,Rec-1
0.075,0.732824915,Rec-1
0.15,0.439519503,Rec-1
0.3,0.086624602,Rec-1
0.6,0.009962343,Rec-1
1.25,0.003518853,Rec-1
2.5,0.00113426,Rec-1
5,0.000779103,Rec-1
0.075,0.541699588,Jeko-R
0.15,0.291452256,Jeko-R
0.3,0.066353965,Jeko-R
0.6,0.042504736,Jeko-R
1.25,0.011958512,Jeko-R
2.5,0.000118671,Jeko-R
5,3.39E-05,Jeko-R
0.075,0.617394671,Jeko-R
0.15,0.428359763,Jeko-R
0.3,0.086217838,Jeko-R
0.6,0.039578754,Jeko-R
1.25,0.015776024,Jeko-R
2.5,8.95E-06,Jeko-R
0.075,0.573577405,Jeko-R
0.15,0.347169243,Jeko-R
0.3,0.055217487,Jeko-R
0.6,0.038166282,Jeko-R
1.25,0.010103023,Jeko-R
2.5,1.22E-05,Jeko-R
5,4.63E-05,Jeko-R
